%  ASCII export :
%
%  Momentum is normalized to the product of particle's mass and speed of light.
%  All other quantities are in SI units.
%
%   posX              posY              posZ              momX              momY              momZ              mass              charge            macro-charge      time             particleID   sourceID

     1.1218044e-02    -9.9283701e-04     3.0581145e-02     7.3565239e-01    -8.2700496e-04     7.8660274e-01     9.1093797e-31    -5.5185789e-28    -5.5185789e-28     1.5183339e-01   0            16777216
     1.1468361e-02    -9.9313085e-04     3.0845260e-02     7.4345380e-01    -8.9093274e-04     7.7923340e-01     9.1093797e-31    -5.5185789e-28    -5.5185789e-28     1.5348975e-01   0            16777216
     1.1721306e-02    -9.9344668e-04     3.1106865e-02     7.5121397e-01    -9.5657445e-04     7.7175492e-01     9.1093797e-31    -5.5185789e-28    -5.5185789e-28     1.5514612e-01   0            16777216
     1.1976862e-02    -9.9378498e-04     3.1365916e-02     7.5893104e-01    -1.0239460e-03     7.6416725e-01     9.1093797e-31    -5.5185789e-28    -5.5185789e-28     1.5680249e-01   0            16777216
     1.2235017e-02    -9.9414645e-04     3.1622376e-02     7.6660323e-01    -1.0930625e-03     7.5647026e-01     9.1093797e-31    -5.5185789e-28    -5.5185789e-28     1.5845886e-01   0            16777216
     1.2495752e-02    -9.9453167e-04     3.1876214e-02     7.7422863e-01    -1.1639382e-03     7.4866390e-01     9.1093797e-31    -5.5185789e-28    -5.5185789e-28     1.6011523e-01   0            16777216
     1.2759054e-02    -9.9494134e-04     3.2127388e-02     7.8180510e-01    -1.2365817e-03     7.4074847e-01     9.1093797e-31    -5.5185789e-28    -5.5185789e-28     1.6177160e-01   0            16777216
     1.3024903e-02    -9.9537580e-04     3.2375868e-02     7.8933072e-01    -1.3110060e-03     7.3272389e-01     9.1093797e-31    -5.5185789e-28    -5.5185789e-28     1.6342796e-01   0            16777216
     1.3293284e-02    -9.9583587e-04     3.2621607e-02     7.9680353e-01    -1.3872250e-03     7.2459036e-01     9.1093797e-31    -5.5185789e-28    -5.5185789e-28     1.6508432e-01   0            16777216
     1.3564177e-02    -9.9632214e-04     3.2864574e-02     8.0422169e-01    -1.4652516e-03     7.1634787e-01     9.1093797e-31    -5.5185789e-28    -5.5185789e-28     1.6674069e-01   0            16777216
     1.3837564e-02    -9.9683518e-04     3.3104733e-02     8.1158328e-01    -1.5451029e-03     7.0799661e-01     9.1093797e-31    -5.5185789e-28    -5.5185789e-28     1.6839705e-01   0            16777216
     1.4113426e-02    -9.9737558e-04     3.3342045e-02     8.1888634e-01    -1.6268424e-03     6.9953662e-01     9.1093797e-31    -5.5185789e-28    -5.5185789e-28     1.7005342e-01   0            16777216
     1.4391741e-02    -9.9794404e-04     3.3576474e-02     8.2612896e-01    -1.7104977e-03     6.9096816e-01     9.1093797e-31    -5.5185789e-28    -5.5185789e-28     1.7170979e-01   0            16777216
     1.4672489e-02    -9.9854125e-04     3.3807985e-02     8.3330911e-01    -1.7960807e-03     6.8229145e-01     9.1093797e-31    -5.5185789e-28    -5.5185789e-28     1.7336616e-01   0            16777216
     1.4955648e-02    -9.9916768e-04     3.4036539e-02     8.4042495e-01    -1.8836036e-03     6.7350680e-01     9.1093797e-31    -5.5185789e-28    -5.5185789e-28     1.7502253e-01   0            16777216
     1.5241197e-02    -9.9982426e-04     3.4262102e-02     8.4747428e-01    -1.9730749e-03     6.6461450e-01     9.1093797e-31    -5.5185789e-28    -5.5185789e-28     1.7667890e-01   0            16777216
     1.5529114e-02    -1.0005115e-03     3.4484636e-02     8.5445499e-01    -2.0644974e-03     6.5561533e-01     9.1093797e-31    -5.5185789e-28    -5.5185789e-28     1.7833526e-01   0            16777216
     1.5819373e-02    -1.0012300e-03     3.4704104e-02     8.6136496e-01    -2.1578809e-03     6.4650965e-01     9.1093797e-31    -5.5185789e-28    -5.5185789e-28     1.7999163e-01   0            16777216
     1.6111949e-02    -1.0019805e-03     3.4920469e-02     8.6820233e-01    -2.2532342e-03     6.3729793e-01     9.1093797e-31    -5.5185789e-28    -5.5185789e-28     1.8164800e-01   0            16777216
     1.6406819e-02    -1.0027636e-03     3.5133705e-02     8.7496501e-01    -2.3505660e-03     6.2798059e-01     9.1093797e-31    -5.5185789e-28    -5.5185789e-28     1.8330437e-01   0            16777216
     1.6703956e-02    -1.0035803e-03     3.5343762e-02     8.8165110e-01    -2.4498869e-03     6.1855823e-01     9.1093797e-31    -5.5185789e-28    -5.5185789e-28     1.8496072e-01   0            16777216
     1.7003335e-02    -1.0044307e-03     3.5550617e-02     8.8825858e-01    -2.5512059e-03     6.0903138e-01     9.1093797e-31    -5.5185789e-28    -5.5185789e-28     1.8661709e-01   0            16777216
     1.7304929e-02    -1.0053159e-03     3.5754226e-02     8.9478540e-01    -2.6545299e-03     5.9940058e-01     9.1093797e-31    -5.5185789e-28    -5.5185789e-28     1.8827346e-01   0            16777216
     1.7608710e-02    -1.0062365e-03     3.5954557e-02     9.0122956e-01    -2.7598650e-03     5.8966655e-01     9.1093797e-31    -5.5185789e-28    -5.5185789e-28     1.8992983e-01   0            16777216
     1.7914649e-02    -1.0071931e-03     3.6151581e-02     9.0758908e-01    -2.8672144e-03     5.7983005e-01     9.1093797e-31    -5.5185789e-28    -5.5185789e-28     1.9158620e-01   0            16777216
     1.8222716e-02    -1.0081865e-03     3.6345255e-02     9.1386157e-01    -2.9765731e-03     5.6989223e-01     9.1093797e-31    -5.5185789e-28    -5.5185789e-28     1.9324256e-01   0            16777216
     1.8532883e-02    -1.0092173e-03     3.6535550e-02     9.2004520e-01    -3.0879439e-03     5.5985385e-01     9.1093797e-31    -5.5185789e-28    -5.5185789e-28     1.9489893e-01   0            16777216
